open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754006400000,115710.1,115893.7,115270.0,115757.7,1089468,1754008199999,942.33513574,14360,557596,482.05954637,0
1754008200000,115757.7,115757.7,113862.8,115382.5,4204548,1754009999999,3664.98267986,36218,1406093,1224.45113489,0
1754010000000,115382.4,115565.2,114503.8,115116.0,3662986,1754011799999,3184.60305846,46990,1106036,961.62927264,0
1754011800000,115116.0,115340.1,114921.3,115263.3,766395,1754013599999,665.58458217,11531,265756,230.76812479,0
1754013600000,115260.9,115739.2,115162.1,115561.1,554740,1754015399999,480.37717538,8485,321115,278.06251401,0
1754015400000,115561.1,115948.0,115517.9,115895.6,333422,1754017199999,287.93560717,7825,194274,167.76754343,0
1754017200000,115896.9,115983.9,115725.3,115952.0,313177,1754018999999,270.32020466,4858,168217,145.19241288,0
1754019000000,115951.8,115951.9,115526.8,115580.0,201334,1754020799999,173.97651027,4269,87820,75.87105288,0
1754020800000,115579.9,115579.9,115200.1,115449.2,498932,1754022599999,432.41709365,9629,168738,146.25980442,0
1754022600000,115449.2,115640.0,115396.1,115624.0,168005,1754024399999,145.43055884,4555,89584,77.54904513,0
1754024400000,115624.0,115857.9,115416.6,115540.6,267742,1754026199999,231.53955091,8683,120147,103.90323634,0
1754026200000,115540.6,115693.2,115322.7,115505.6,329561,1754027999999,285.33817819,16003,166099,143.81969262,0
1754028000000,115505.6,115599.8,115199.0,115199.7,338074,1754029799999,292.94044367,13858,136444,118.22801858,0
1754029800000,115199.7,115268.3,114628.8,115088.8,1430968,1754031599999,1244.09725914,23207,381057,331.12039488,0
1754031600000,115088.8,115233.5,114751.3,114773.6,962372,1754033399999,836.93994867,15194,307590,267.52233763,0
1754033400000,114773.7,115013.6,114555.5,114994.0,873361,1754035199999,761.34558874,17270,411861,359.01576482,0
1754035200000,114993.9,114993.9,114255.7,114343.4,1055861,1754036999999,921.95413260,14786,359989,314.37977772,0
1754037000000,114343.4,114696.8,114008.0,114530.1,990257,1754038799999,866.20641155,15276,501075,438.23195766,0
1754038800000,114530.1,115228.4,114476.0,115228.4,977340,1754040599999,850.12449039,10274,629737,547.85022147,0
1754040600000,115228.3,115272.6,114849.6,114865.6,439366,1754042399999,381.83930314,5138,198927,172.83170098,0
1754042400000,114865.7,115123.8,114800.0,114936.4,264467,1754044199999,229.98291793,3815,102162,88.84563475,0
1754044200000,114936.4,114951.9,114635.8,114692.9,952881,1754045999999,829.92983228,7813,451413,393.14528950,0
